family,model_label,assay_id,split,evaluated_rows,train_rows,test_rows,spearman,pearson,rmse,mae
additive,additive,RASK_HUMAN_Weng_2022_abundance,distance_controlled,0.0,3066.0,0.0,,,,
additive,additive,SPG1_STRSG_Olson_2014,random,32361.0,429569.0,53697.0,0.9576289354724828,0.9143995622846856,1.1806865401485414,0.9126833787401027
additive,additive,SPG1_STRSG_Olson_2014,single_to_multi,535917.0,1045.0,535917.0,0.95836160585521,0.9139915752024484,1.1853747007300688,0.9169065230838652
additive,additive,SPG1_STRSG_Olson_2014,low_to_high_k1,535917.0,1045.0,535917.0,0.95836160585521,0.9139915752024484,1.1853747007300688,0.9169065230838652
additive,additive,SPG1_STRSG_Olson_2014,low_to_high_k2,0.0,536962.0,0.0,,,,
additive,additive,SPG1_STRSG_Olson_2014,seen_marginal_unseen_combo,535917.0,1045.0,535917.0,0.95836160585521,0.9139915752024484,1.1853747007300688,0.9169065230838652
additive,additive,SPG1_STRSG_Olson_2014,epistasis_enriched,107184.0,1045.0,107184.0,0.7976224184895444,0.6971123012976229,2.2697617707858746,2.043576275043842
additive,additive,SPG1_STRSG_Olson_2014,distance_controlled,0.0,1045.0,0.0,,,,
additive,additive,YAP1_HUMAN_Araya_2012,random,571.0,8060.0,1008.0,0.7758222697203246,0.7204232225130717,1.1648471003326926,1.0605003255410652
additive,additive,YAP1_HUMAN_Araya_2012,single_to_multi,8669.0,362.0,9713.0,0.7522461880536881,0.6834937306682147,1.1513245064682815,1.0508273392921232
additive,additive,YAP1_HUMAN_Araya_2012,low_to_high_k1,8669.0,362.0,9713.0,0.7522461880536881,0.6834937306682147,1.1513245064682815,1.0508273392921232
additive,additive,YAP1_HUMAN_Araya_2012,low_to_high_k2,0.0,10075.0,0.0,,,,
additive,additive,YAP1_HUMAN_Araya_2012,seen_marginal_unseen_combo,8669.0,362.0,8669.0,0.7522461880536881,0.6834937306682147,1.1513245064682815,1.0508273392921232
additive,additive,YAP1_HUMAN_Araya_2012,epistasis_enriched,1734.0,362.0,1734.0,0.782606679430294,0.4654685488131229,1.7305868020961916,1.679592988360536
additive,additive,YAP1_HUMAN_Araya_2012,distance_controlled,0.0,362.0,0.0,,,,
tabular,ridge,A4_HUMAN_Seuma_2022,random,1426.0,11848.0,1482.0,0.8923864056798189,0.8735607083485861,0.8602980782366657,0.6510426450865783
tabular,ridge,A4_HUMAN_Seuma_2022,single_to_multi,14015.0,796.0,14015.0,0.8410429068160745,0.8232804140137435,1.5654608762102165,1.2707859955583936
tabular,ridge,A4_HUMAN_Seuma_2022,low_to_high_k1,14015.0,796.0,14015.0,0.8410429068160745,0.8232804140137435,1.5654608762102165,1.2707859955583936
tabular,ridge,A4_HUMAN_Seuma_2022,low_to_high_k2,,14811.0,0.0,,,,
tabular,ridge,A4_HUMAN_Seuma_2022,seen_marginal_unseen_combo,14015.0,796.0,14015.0,0.8410429068160745,0.8232804140137435,1.5654608762102165,1.2707859955583936
tabular,ridge,A4_HUMAN_Seuma_2022,epistasis_enriched,2803.0,796.0,2803.0,0.556555275649886,0.5107887180750206,2.201313610107149,1.9434260499908809
tabular,ridge,A4_HUMAN_Seuma_2022,distance_controlled,,796.0,0.0,,,,
tabular,ridge,CAPSD_AAV2S_Sinai_2021,random,4234.0,33862.0,4234.0,0.8182121561150965,0.7592255077372775,1.972406855001395,1.5689553081112677
tabular,ridge,CAPSD_AAV2S_Sinai_2021,single_to_multi,41796.0,532.0,41796.0,0.288238353649296,0.1847161319750646,6.357810277349032,4.739687122219902
tabular,ridge,CAPSD_AAV2S_Sinai_2021,low_to_high_k1,41796.0,532.0,41796.0,0.288238353649296,0.1847161319750646,6.357810277349032,4.739687122219902
tabular,ridge,CAPSD_AAV2S_Sinai_2021,low_to_high_k2,30963.0,11365.0,30963.0,0.4305466809837711,0.4528434329121637,5.885445355934225,4.432854031181113
tabular,ridge,CAPSD_AAV2S_Sinai_2021,seen_marginal_unseen_combo,41796.0,532.0,41796.0,0.288238353649296,0.1847161319750646,6.357810277349032,4.739687122219902
tabular,ridge,CAPSD_AAV2S_Sinai_2021,epistasis_enriched,8360.0,532.0,8360.0,-0.1956279358797907,-0.1992707448966925,11.93001606136544,11.02709288077012
tabular,ridge,CAPSD_AAV2S_Sinai_2021,distance_controlled,30963.0,532.0,30963.0,0.0983091684102635,0.0348299337526351,7.2184540036575955,5.624681178332525
tabular,ridge,D7PM05_CLYGR_Somermeyer_2022,random,2429.0,19612.0,2452.0,0.8558215524733889,0.7687675732556093,8097.22798043797,6634.005557076419
tabular,ridge,D7PM05_CLYGR_Somermeyer_2022,single_to_multi,20212.0,1169.0,23346.0,0.7093092988912929,0.6808871327663086,14190.104452967207,11246.036781266888
tabular,ridge,D7PM05_CLYGR_Somermeyer_2022,low_to_high_k1,20212.0,1169.0,23346.0,0.7093092988912929,0.6808871327663086,14190.104452967207,11246.036781266888
tabular,ridge,D7PM05_CLYGR_Somermeyer_2022,low_to_high_k2,12717.0,11317.0,13198.0,0.7515691976465856,0.7128860253968957,13245.900979503782,10321.07658009006
tabular,ridge,D7PM05_CLYGR_Somermeyer_2022,seen_marginal_unseen_combo,20212.0,1169.0,20212.0,0.7093092988912929,0.6808871327663086,14190.104452967207,11246.036781266888
tabular,ridge,D7PM05_CLYGR_Somermeyer_2022,epistasis_enriched,4043.0,1169.0,4043.0,0.6579895052551412,0.6218958217910356,22930.70455770979,21205.33954445965
tabular,ridge,D7PM05_CLYGR_Somermeyer_2022,distance_controlled,10695.0,1169.0,13198.0,0.7240287591553658,0.6676451593930282,17766.302543783408,15530.24170461124
tabular,ridge,GFP_AEQVI_Sarkisyan_2016,random,5144.0,41371.0,5172.0,0.8621074350222068,0.8287214551163259,0.5924514125170834,0.4535215764010515
tabular,ridge,GFP_AEQVI_Sarkisyan_2016,single_to_multi,42671.0,1084.0,50630.0,0.4999112732500301,0.6293903628601089,1.0936978226335756,0.7611007742408448
tabular,ridge,GFP_AEQVI_Sarkisyan_2016,low_to_high_k1,42671.0,1084.0,50630.0,0.4999112732500301,0.6293903628601089,1.0936978226335756,0.7611007742408448
tabular,ridge,GFP_AEQVI_Sarkisyan_2016,low_to_high_k2,36475.0,13861.0,37853.0,0.7593533114759287,0.7300361822571412,0.9774705442241068,0.721008030630184
tabular,ridge,GFP_AEQVI_Sarkisyan_2016,seen_marginal_unseen_combo,42671.0,1084.0,42671.0,0.4999112732500301,0.6293903628601089,1.0936978226335756,0.7611007742408448
tabular,ridge,GFP_AEQVI_Sarkisyan_2016,epistasis_enriched,8535.0,1084.0,8535.0,0.4219629708012521,0.4512540284650221,1.8629009918447728,1.6957351270181615
tabular,ridge,GFP_AEQVI_Sarkisyan_2016,distance_controlled,30717.0,1084.0,37853.0,0.5971668246150797,0.6299158885132432,1.2618713889599056,0.9710140434066018
tabular,ridge,GRB2_HUMAN_Faure_2021,random,6338.0,50692.0,6338.0,0.8629478832791126,0.8662038358771278,0.2317668515354782,0.186242732858997
tabular,ridge,GRB2_HUMAN_Faure_2021,single_to_multi,62189.0,1034.0,62332.0,0.8619493462042194,0.8482096436869868,0.4494448524127814,0.3883598417131595
tabular,ridge,GRB2_HUMAN_Faure_2021,low_to_high_k1,62189.0,1034.0,62332.0,0.8619493462042194,0.8482096436869868,0.4494448524127814,0.3883598417131595
tabular,ridge,GRB2_HUMAN_Faure_2021,low_to_high_k2,,63366.0,0.0,,,,
tabular,ridge,GRB2_HUMAN_Faure_2021,seen_marginal_unseen_combo,62189.0,1034.0,62189.0,0.8619493462042194,0.8482096436869868,0.4494448524127814,0.3883598417131595
